No_Languages,No_Edu_Qualification,No_Connections,No_Recommendation,No_Skills,No_Professions,Profile_Image,No_Publications,No_Projects,No_Certificates,real
2,1,200,5,8,2,1,3,2,1,0
1,2,150,3,5,1,0,2,5,3,0
3,4,500,15,10,2,1,1,5,3,0
0,2,50,1,2,0,0,0,2,0,0
2,2,200,5,5,1,1,0,0,0,0
1,1,100,2,3,0,0,0,4,0,0
0,0,30,0,1,0,0,0,1,0,0
3,2,800,20,15,3,1,1,6,3,0
2,4,250,7,6,1,1,1,2,1,0
4,0,1000,30,20,3,1,1,8,4,0
1,1,120,2,3,0,0,0,1,0,0
3,2,400,10,10,2,1,2,5,4,0
2,2,300,8,6,0,0,1,3,2,0
4,1,700,18,14,1,1,1,9,3,0
1,3,80,3,4,0,0,0,3,0,0
3,3,600,12,18,3,1,2,4,5,0
2,2,300,8,6,0,0,1,3,2,0
4,3,900,18,12,1,1,1,8,3,0
1,1,70,2,3,0,0,0,2,0,0
3,3,750,15,20,3,1,1,5,5,0
2,1,220,5,7,1,1,0,1,0,0
4,0,800,18,12,1,1,1,9,2,0
1,0,90,3,5,0,0,0,3,0,0
3,2,350,8,12,3,1,1,2,4,0
2,2,180,4,4,1,1,1,0,0,0
1,0,60,2,2,0,0,1,3,0,0
2,2,400,10,10,2,1,1,5,3,0
3,2,600,14,20,3,1,1,5,4,0
4,1,800,20,18,2,1,2,8,5,0
1,1,100,3,5,1,0,3,4,3,0
3,4,550,15,12,2,1,1,6,3,0
2,2,280,7,7,1,1,0,1,0,0
4,0,950,25,16,3,1,1,9,4,0
1,1,110,2,3,0,0,0,2,0,0
3,2,420,12,10,2,1,2,5,4,0
2,2,320,9,8,0,0,1,3,2,0
4,1,720,18,15,1,1,1,9,3,0
1,3,90,3,4,0,0,0,3,0,0
3,3,630,14,18,3,1,2,4,5,0
2,2,310,8,6,0,0,1,3,2,0
4,3,880,20,12,1,1,1,8,3,0
1,1,80,2,3,0,0,0,2,0,0
3,3,720,15,20,3,1,1,5,5,0
2,1,200,5,7,1,1,0,1,0,0
4,0,900,20,15,2,1,1,9,2,0
1,0,100,3,5,0,0,0,3,0,0
3,2,350,8,12,3,1,1,2,4,0
2,2,180,4,4,1,1,1,0,0,0
5,3,302,5,31,1,1,0,5,2,1
3,2,180,4,6,3,1,4,2,1,0
2,1,210,6,9,2,1,2,3,1,0
4,3,195,7,7,4,1,5,1,2,0
2,2,190,5,8,2,1,3,2,0,1
5,2,205,4,10,3,1,6,2,1,0
3,1,220,6,6,4,1,4,2,0,1
4,2,175,5,7,3,1,3,3,1,1
3,3,200,4,9,2,1,4,1,2,0
2,1,185,7,8,3,1,2,2,1,1
5,2,195,6,10,4,1,5,3,0,0
4,1,210,5,7,2,1,3,1,1,0
3,2,180,6,8,3,1,4,2,2,1
2,3,190,4,9,2,1,2,3,0,0
5,2,200,5,6,4,1,6,2,1,1
3,1,215,7,8,3,1,4,1,0,0
4,2,185,6,7,2,1,3,2,1,1
2,2,195,4,10,3,1,5,2,2,0
5,3,180,5,8,4,1,6,1,1,1
3,1,205,6,9,2,1,3,3,0,0
4,2,190,7,7,3,1,4,2,1,1
2,3,175,5,6,4,1,2,1,2,0
5,1,200,4,8,2,1,5,2,1,0
3,2,210,6,7,3,1,4,3,0,1
4,1,195,5,9,4,1,3,2,2,0
